Player;Arqueros;Defensores;Mediocampistas;Delanteros
Emiliano Martinez;1;0;0;0
Agustin Rossi;1;0;0;0
Franco Armani;1;0;0;0
Geronimo Rulli;1;0;0;0
Juan Musso;1;0;0;0
Agustin Marchesin;1;0;0;0
Nahuel Molina;0;1;0;0
Gonzalo Montiel;0;1;0;0
Cristian Romero;0;1;0;0
German Pezzella;0;1;0;0
Nicolas Otamendi;0;1;0;0
Lisandro Martinez;0;1;0;0
Marcos Acuna;0;1;0;0
Nicolas Tagliafico;0;1;0;0
Juan Foyth;0;1;0;0
Facundo Medina;0;1;0;0
Nehuen Perez;0;1;0;0
Lucas Martinez Quarta;0;1;0;0
Marcos Senesi;0;1;0;0
Rodrigo De Paul;0;0;1;0
Leandro Paredes;0;0;1;0
Giovani Lo Celso;0;0;1;0
Alexis Mac Allister;0;0;1;0
Guido Rodriguez;0;0;1;0
Alejandro Gomez;0;0;1;0
Enzo Fernandez;0;0;1;0
Exequiel Palacios;0;0;1;0
Thiago Almada;0;0;1;0
Nicolas Dominguez;0;0;1;0
Lucas Ocampos;0;0;1;0
Maximiliano Meza;0;0;1;0
Roberto Pereyra;0;0;1;0
Matias Soule;0;0;1;0
Valentin Carboni;0;0;1;0
Nicolas Paz;0;0;1;0
Luka Romero;0;0;1;0
Lionel Messi;0;0;0;1
Lautaro Martinez;0;0;0;1
Angel Di Maria;0;0;0;1
Julian Alvarez;0;0;0;1
Paulo Dybala;0;0;0;1
Nicolas Gonzalez;0;0;0;1
Angel Correa;0;0;0;1
Joaquin Correa;0;0;0;1
Giovanni Simeone;0;0;0;1
Emiliano Buendia;0;0;0;1
Lucas Alario;0;0;0;1
Alejandro Garnacho;0;0;0;1
