Jugador;Arqueros;Defensores;Mediocampistas;Delanteros
Bartlomiej Dragowski;1;0;0;0
Radoslaw Majecki;1;0;0;0
Wojciech Szczesny;1;0;0;0
LÅukasz Skorupski;1;0;0;0
Kamil Grabara;1;0;0;0
Jan Bednarek;0;1;0;0
Bartosz Bereszynski;0;1;0;0
Pawel Bochniewicz;0;1;0;0
Matty Cash;0;1;0;0
Patryk Kun;0;1;0;0
Jakub Kiwior;0;1;0;0
Tomasz Kedziora;0;1;0;0
Michal Karbownik;0;1;0;0
Artur Jedrzejczyk;0;1;0;0
Pawel Dawidowicz;0;1;0;0
Kamil Glik;0;1;0;0
Robert Gumny;0;1;0;0
Michal Helik;0;1;0;0
Maik Nawrocki;0;1;0;0
Tymoteusz Puchacz;0;1;0;0
Nicola Zalewski;0;1;0;0
Mateusz Wieteska;0;1;0;0
Arkadiusz Reca;0;1;0;0
Krystian Bielik;0;0;1;0
Jakub Piotrowski;0;0;1;0
Mateusz Legowski;0;0;1;0
Karol Linetty;0;0;1;0
Grzegorz Krychowiak;0;0;1;0
Patryk Dziczek;0;0;1;0
Przemyslaw Frankowski;0;0;1;0
Jacek Goralski;0;0;1;0
Kamil Grosicki;0;0;1;0
Kamil Jozwiak;0;0;1;0
Jakub Kaminski;0;0;1;0
Mateusz Klich;0;0;1;0
Kacper Kozlowski;0;0;1;0
Michal Skoras;0;0;1;0
Damian Szymanski;0;0;1;0
Sebastian Szymanski;0;0;1;0
Piotr Zielinski;0;0;1;0
Szymon Zurkowski;0;0;1;0
Adam Buksa;0;0;0;1
Dawid Kownacki;0;0;0;1
Robert Lewandowski;0;0;0;1
Arkadiusz Milik;0;0;0;1
Krzysztof Piatek;0;0;0;1
Karol Swiderski;0;0;0;1
